Buyer_ID,Buyer_Name,Gender,Age,Occupation,Marital_Status,City,State
1,Manish,Female,21,Teacher,Single,Mumbai,Delhi
2,Sneha,Male,24,Doctor,Married,Bangalore,Delhi
3,Vikram,Male,52,IT Employee,Married,Delhi,Delhi
4,Manish,Female,26,Doctor,Single,Mumbai,Maharashtra
5,Raj,Female,25,Business,Married,Mumbai,Tamil Nadu
6,Priya,Male,34,Student,Single,Chennai,Delhi
7,Vikram,Male,34,Student,Single,Kolkata,Tamil Nadu
8,Vikram,Female,50,Teacher,Single,Chennai,Maharashtra
9,Manish,Female,49,Teacher,Married,Bangalore,Maharashtra
10,Diya,Female,25,Teacher,Single,Delhi,Karnataka
11,Raj,Female,36,IT Employee,Single,Kolkata,Delhi
12,Manish,Male,55,Business,Married,Chennai,Karnataka
13,Raj,Female,20,Business,Married,Mumbai,Delhi
14,Raj,Female,22,Business,Married,Mumbai,Maharashtra
15,Priya,Male,30,Business,Married,Kolkata,Maharashtra
16,Vikram,Female,48,Teacher,Married,Mumbai,West Bengal
17,Sneha,Female,33,Student,Married,Chennai,West Bengal
18,Priya,Female,49,Teacher,Single,Chennai,Maharashtra
19,Priya,Female,39,Business,Married,Mumbai,Maharashtra
20,Raj,Male,46,Teacher,Single,Mumbai,Tamil Nadu
21,Ananya,Male,39,Business,Married,Bangalore,Tamil Nadu
22,Vikram,Female,20,Doctor,Single,Delhi,Karnataka
23,Diya,Female,27,Student,Single,Bangalore,West Bengal
24,Priya,Female,59,Doctor,Married,Bangalore,West Bengal
25,Sneha,Male,38,IT Employee,Married,Kolkata,Maharashtra
26,Ananya,Female,33,IT Employee,Single,Bangalore,Maharashtra
27,Ananya,Male,29,IT Employee,Married,Chennai,Karnataka
28,Diya,Male,19,Teacher,Married,Bangalore,West Bengal
29,Priya,Female,58,Doctor,Single,Bangalore,Tamil Nadu
30,Sneha,Male,41,Business,Single,Mumbai,Delhi
31,Vikram,Female,52,Business,Single,Kolkata,Karnataka
32,Aarav,Female,47,Teacher,Married,Kolkata,Delhi
33,Sneha,Female,47,Business,Married,Mumbai,Tamil Nadu
34,Diya,Female,52,Doctor,Married,Kolkata,Tamil Nadu
35,Ananya,Female,36,Business,Married,Mumbai,Delhi
36,Vikram,Male,25,Doctor,Single,Chennai,Karnataka
37,Sneha,Male,43,IT Employee,Married,Bangalore,Delhi
38,Aarav,Female,57,Doctor,Single,Bangalore,Karnataka
39,Aarav,Female,24,Student,Married,Kolkata,Karnataka
40,Raj,Male,47,Student,Married,Delhi,Maharashtra
41,Raj,Male,24,Student,Single,Bangalore,West Bengal
42,Manish,Male,20,Teacher,Married,Mumbai,West Bengal
43,Diya,Male,18,Teacher,Married,Delhi,Tamil Nadu
44,Priya,Female,53,Teacher,Single,Delhi,Maharashtra
45,Sneha,Female,42,Doctor,Married,Bangalore,West Bengal
46,Sneha,Male,54,Teacher,Single,Bangalore,Karnataka
47,Priya,Female,18,IT Employee,Single,Bangalore,Karnataka
48,Manish,Male,32,Student,Single,Mumbai,Delhi
49,Ananya,Female,54,Doctor,Single,Delhi,Delhi
50,Ananya,Male,30,Student,Married,Kolkata,Karnataka
51,Manish,Female,57,Teacher,Married,Mumbai,Karnataka
52,Ananya,Male,25,Doctor,Married,Chennai,Delhi
53,Raj,Male,22,Business,Single,Bangalore,West Bengal
54,Sneha,Female,26,IT Employee,Married,Delhi,Tamil Nadu
55,Manish,Male,18,Teacher,Married,Mumbai,Delhi
56,Sneha,Female,53,Teacher,Married,Chennai,West Bengal
57,Priya,Female,52,IT Employee,Married,Mumbai,West Bengal
58,Aarav,Male,19,IT Employee,Single,Mumbai,West Bengal
59,Raj,Female,57,Business,Single,Kolkata,Maharashtra
60,Vikram,Female,40,Teacher,Married,Kolkata,Maharashtra
61,Raj,Female,26,Teacher,Single,Mumbai,West Bengal
62,Manish,Female,51,Student,Married,Chennai,Karnataka
63,Vikram,Female,31,Doctor,Married,Delhi,Maharashtra
64,Aarav,Male,21,Doctor,Married,Delhi,Delhi
65,Manish,Female,47,Student,Single,Bangalore,Maharashtra
66,Diya,Female,48,Doctor,Married,Bangalore,Karnataka
67,Sneha,Female,55,IT Employee,Single,Delhi,Tamil Nadu
68,Aarav,Female,28,Doctor,Single,Mumbai,Maharashtra
69,Sneha,Female,38,Doctor,Married,Mumbai,West Bengal
70,Ananya,Male,38,Student,Single,Kolkata,West Bengal
71,Diya,Female,20,Business,Single,Kolkata,West Bengal
72,Diya,Male,31,Doctor,Married,Bangalore,Tamil Nadu
73,Aarav,Male,30,Doctor,Single,Delhi,Delhi
74,Diya,Male,49,Business,Single,Mumbai,Delhi
75,Vikram,Male,51,Student,Married,Delhi,Karnataka
76,Diya,Female,36,Business,Married,Chennai,Tamil Nadu
77,Sneha,Male,55,Student,Single,Delhi,West Bengal
78,Sneha,Male,33,IT Employee,Married,Chennai,Karnataka
79,Manish,Female,19,Student,Married,Kolkata,Delhi
80,Sneha,Female,57,IT Employee,Single,Kolkata,West Bengal
81,Manish,Female,34,IT Employee,Single,Bangalore,Delhi
82,Sneha,Male,51,Student,Married,Delhi,Maharashtra
83,Vikram,Female,59,Teacher,Single,Delhi,Delhi
84,Priya,Female,33,Student,Married,Chennai,West Bengal
85,Manish,Male,55,Doctor,Married,Kolkata,Maharashtra
86,Raj,Female,19,Doctor,Single,Chennai,West Bengal
87,Ananya,Female,19,Teacher,Single,Kolkata,West Bengal
88,Aarav,Female,43,IT Employee,Married,Chennai,Maharashtra
89,Sneha,Female,30,Teacher,Married,Kolkata,Delhi
90,Diya,Male,48,Doctor,Married,Chennai,Tamil Nadu
91,Priya,Female,51,Teacher,Married,Kolkata,Tamil Nadu
92,Sneha,Female,56,Student,Single,Chennai,Tamil Nadu
93,Diya,Male,20,Teacher,Married,Delhi,Tamil Nadu
94,Ananya,Female,25,IT Employee,Single,Bangalore,Karnataka
